epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7835,1.97695,2.9128,1.75368,0.54618,0.485,0.46898,0.27835,1.39633,1.83374,1.32299,0.00024,0.00024,0.00024
2,29.1633,1.20367,1.36501,1.14019,0.68125,0.67326,0.70419,0.36949,1.42916,2.15802,1.94397,0.00049505,0.00049505,0.00049505
3,38.7449,1.18288,1.22241,1.17032,0.17164,0.265,0.09616,0.03847,2.25556,7.56552,2.83529,0.000744952,0.000744952,0.000744952
4,47.8788,1.33349,1.2884,1.27017,0.00383,0.035,0.00066,0.00013,4.62315,inf,128.933,0.000989706,0.000989706,0.000989706
5,57.0864,1.38418,1.37714,1.32252,0.00383,0.035,0.00066,0.00013,nan,nan,nan,0.00122931,0.00122931,0.00122931
6,65.964,1.40262,1.29752,1.25551,0.0011,0.035,0.00055,0.00014,nan,nan,nan,0.00146377,0.00146377,0.00146377
7,75.1957,1.3383,1.25826,1.25376,0.00734,0.05,0.00397,0.00103,nan,nan,nan,0.00169308,0.00169308,0.00169308
8,84.3459,1.37984,1.25784,1.23221,0.01425,0.08,0.00667,0.00275,nan,nan,nan,0.0018614,0.0018614,0.0018614
9,94.3442,1.30801,1.29564,1.22498,0.00046,0.015,0.0002,7e-05,nan,nan,nan,0.0018416,0.0018416,0.0018416
10,103.957,1.30233,1.17114,1.23599,0.01853,0.365,0.01108,0.00499,nan,nan,nan,0.0018218,0.0018218,0.0018218
11,113.834,1.30162,1.16177,1.23012,0.02827,0.62,0.02454,0.0132,1.7072,66.5318,1.99379,0.001802,0.001802,0.001802
12,123.554,1.29492,1.11965,1.20221,0.09821,0.80752,0.09143,0.05262,1.40847,23.1086,1.45746,0.0017822,0.0017822,0.0017822
13,133.007,1.26892,1.04859,1.1857,0.25272,0.715,0.2307,0.1182,1.5156,8.88056,1.51649,0.0017624,0.0017624,0.0017624
14,142.307,1.25686,1.0416,1.18055,0.59008,0.775,0.6594,0.36002,1.29833,3.30801,1.31934,0.0017426,0.0017426,0.0017426
15,151.897,1.24492,1.02281,1.1589,0.5931,0.67051,0.59586,0.31411,1.43075,2.99781,1.36516,0.0017228,0.0017228,0.0017228
